title,price,marcas
"Smartphone Infinix Hot 20 128GB Preto 5G MediaTek Dimensity 810 4GB RAM 6,6"" Câm. Dupla + Selfie 8MP Dual Chip","ou R$ 1.169,10",infinix
Smartphone Xiaomi Redmi Note 13 5G 8GB Ram 256GB Preto,"ou R$ 2.390,09",xiaomi
Smartphone Xiaomi Redmi 14C 256GB 4+4GB RAM VIRTUAL Preto,"ou R$ 1.394,99",xiaomi
Smartphone Xiaomi Redmi Note 14 256GB 8/8GB RAM VIRTUAL Dual SIM Tela 6.67,"ou R$ 2.294,99",xiaomi
Smartphone X7 5G 512GB / 256GB Lançamento 2025 NFC tela Amoled 120 Hz Câmera tripla 4K 50MP OIS Design Premium Top de linha proteção IP68,"ou R$ 1.439,10",unity
"Smartphone Motorola Moto G82 128GB Branco 5G Octa-Core 6GB RAM 6,6” Câm. Tripla + Selfie 16MP","ou R$ 1.637,91",motorola
"Smartphone Motorola Moto G24 128GB Dual Chip 4G Tela 6,6"" Câmera Dupla 50MP+2MP Rosa","ou R$ 1.727,85",motorola
"Smartphone OPPO A79 256GB Preto 5G 8GB + 8GB (RAM+) 6,72"" Câm. 50MP + Selfie 8MP Dual Chip","ou R$ 2.892,21",oppo
Smartphone Samsung Galaxy A06 128GB 4G Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 14,"ou R$ 809,10",samsung
Smartphone Xiaomi Redmi 14C 256GB 4 4GB RAM VIRTUAL,"ou R$ 952,74",xiaomi
"Smartphone Infinix Hot 30i 128GB Preto 4G MediaTek 8GB RAM 6,6"" Câm. 50MP + Selfie 5MP Dual Chip","ou R$ 1.349,54",infinix
Smartphone C75 NFC 256GB e 128GB 12GB RAM câmera tripla 50MP + 8MP tela 120Hz HD+ 6.8'' Premium Design Lançamento versão Global,"ou R$ 695,19",unity
Smartphone Realme C65 256 GB 8GB RAM Tela 6.5 50MP com NFC,"ou R$ 719,10",realme
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb,"ou R$ 1.592,99",xiaomi
Celular Realme Note 60 Dual Sim 128 Gb 4 Gb Ram Smartphone Voyage Blue,"ou R$ 944,99",realme
"Smartphone Motorola Moto G55 5G 256GB 16GB RAM Boost Câmera Traseira Dupla 50MP + 8MP Selfie 16MP Tela 6.5"" Preto","ou R$ 1.433,52",motorola
"Smartphone Motorola Moto G60 128GB Preto 4G 4GB RAM Tela 6,8” Câm. Tripla + Selfie 32MP","ou R$ 2.384,10",motorola
Smartphone Motorola Moto E14 Dual Sim De 64gb / 2gb Ram De 6.56 13mp / 5mp,"ou R$ 1.529,10",motorola
"Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67"" - Preto",,xiaomi
Smartphone Xiaomi Redmi A3 Global 128GB 4GB RAM Dual SIM Tela 6.71,,xiaomi
"Smartphone Motorola Edge 50 5G - Grey, 256GB, 24GB RAM Boost, Câmera Dupla 50 MP Sony, Selfie 32MP e Tela de 6.7""",,motorola
"Smartphone Motorola Moto G23 128GB Grafite 4G Octa-Core 4GB RAM 6,5"" Câm. Tripla + Selfie 16MP Dual Chip",,motorola
"Smartphone Samsung Galaxy M55 5G 256GB 8GB 6,7"" Azul Escuro","ou R$ 2.249,10",samsung
"Apple iPhone 13 128GB Meia-noite Tela 6,1” 12MP","ou R$ 691,20",apple
"Apple iPhone 16e 128GB Branco 6,1"" 48MP iOS 5G",,apple
"Smartphone Samsung Galaxy S24 6,2"" Galaxy AI 256GB Preto 5G 8GB RAM Câm. Tripla 50MP + Selfie 12MP Bateria 4000mAh Dual Chip",,samsung
"Apple iPhone 16 Pro 128GB Titânio Natural 6,3"" 48MP iOS 5G",,apple
"Samsung Galaxy S25 Ultra 5G 256GB Galaxy AI Titânio Cinza 6,9"" 12GB RAM Câm. Quádrupla 200+50+10+50MP Bateria 5000mAh Dual Chip",,samsung
Smartphone Xiaomi Redmi 14C 256GB 8GB RAM Dual SIM Tela 6.88,,xiaomi
Xiaomi Redmi 13C Dual SIM 256 GB Preto 8 GB RAM,,xiaomi
"Smartphone Samsung Galaxy A25 6,5"" 256GB Azul Escuro 5G 8GB RAM Câm Tripla 50MP + Selfie 13MP Bateria 5000mAh Dual Chip","ou R$ 1.359,99",samsung
"Smartphone Samsung Galaxy S24 FE 128GB 5G 8GB RAM Grafite 6,7"" Câm. Tripla + Selfie 10MP","ou R$ 758,57",samsung
"Smartphone Motorola Moto G05 128GB Cinza 4G 6GB RAM 6,7"" 50MP Selfie 8MP","ou R$ 2.324,07",motorola
"Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67"" - Preto","ou R$ 899,10",xiaomi
